    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_1: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_2: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_3: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_4: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_5: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_6: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_7: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_8: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_9: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_10: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_11: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_12: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_13: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_14: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_15: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_16: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_17: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_18: killed
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_27: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_28: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_29: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_30: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_31: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_32: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_33: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_34: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_35: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_36: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_37: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_38: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_39: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_40: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_41: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_42: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_43: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_44: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_45: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_46: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_47: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_48: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_49: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_50: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_51: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_52: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_53: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_54: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_55: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_56: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_57: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_58: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_59: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_60: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_61: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_62: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_63: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_64: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_65: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_66: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_67: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_68: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_69: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_70: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_71: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_72: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_73: no tests
    custom_components.ev_trip_planner.diagnostics.x_async_get_config_entry_diagnostics__mutmut_74: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_1: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_2: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_3: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_4: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_5: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_6: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_7: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_8: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_9: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_10: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_11: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_12: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_13: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_14: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_15: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_16: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_17: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_18: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_19: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_20: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_21: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_22: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_23: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_24: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_25: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_26: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_27: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_28: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_29: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_30: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_31: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_32: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_33: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_34: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_35: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_36: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_37: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_38: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_39: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_40: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_41: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_42: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_43: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_44: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_45: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_46: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_47: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_48: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_49: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_50: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_51: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_52: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_53: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_54: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_55: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_56: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_57: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_58: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_59: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_60: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_61: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_62: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_63: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_64: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_65: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_66: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_67: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_68: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_69: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_70: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_71: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_72: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_73: no tests
    custom_components.ev_trip_planner.x__hourly_refresh_callback__mutmut_74: no tests
    custom_components.ev_trip_planner.x__build_cache_report__mutmut_1: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_1: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_2: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_3: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_4: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_5: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_6: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_7: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_8: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_9: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_10: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_11: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_12: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_13: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_14: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_15: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_16: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_17: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_18: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_19: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_20: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_21: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_22: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_23: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_24: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_25: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_26: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_27: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_28: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_29: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_30: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_31: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_32: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_33: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_34: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_35: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_36: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_37: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_38: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_39: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_40: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_41: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_42: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_43: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_44: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_45: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_46: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_47: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_48: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_49: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_50: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_51: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_52: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_53: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_54: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_55: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_56: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_57: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_58: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_59: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_60: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_61: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_62: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_63: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_64: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_65: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_66: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_67: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_68: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_69: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_70: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_71: no tests
    custom_components.ev_trip_planner.x_async_migrate_entry__mutmut_72: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_1: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_2: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_3: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_4: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_5: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_6: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_7: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_8: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_9: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_10: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_11: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_12: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_13: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_14: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_15: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_16: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_17: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_18: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_19: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_20: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_21: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_22: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_23: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_24: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_25: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_26: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_27: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_28: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_29: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_30: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_31: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_32: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_33: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_34: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_35: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_36: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_37: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_38: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_39: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_40: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_41: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_42: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_43: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_44: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_45: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_46: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_47: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_48: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_49: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_50: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_51: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_52: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_53: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_54: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_55: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_56: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_57: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_58: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_59: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_60: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_61: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_62: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_63: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_64: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_65: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_66: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_67: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_68: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_69: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_70: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_71: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_72: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_73: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_74: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_75: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_76: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_77: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_78: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_79: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_80: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_81: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_82: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_83: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_84: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_85: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_86: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_87: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_88: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_89: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_90: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_91: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_92: no tests
    custom_components.ev_trip_planner.x_async_setup_entry__mutmut_93: no tests
